"Y","Condition","Browser","Time"
16.9049430378261,"A","Chrome",1
13.1170562843555,"A","Chrome",1
13.1851511367396,"A","Chrome",1
12.3278490862487,"A","Chrome",1
50.0286051807585,"A","Chrome",1
15.1093045598893,"A","Chrome",1
35.7846900826518,"A","Chrome",1
22.8786109955735,"A","Chrome",1
33.6552402386,"A","Chrome",1
41.5476432086306,"A","Chrome",1
43.5228640778436,"A","Chrome",1
9.38796821678572,"A","Chrome",1
24.3271211797044,"A","Chrome",1
29.6797139346983,"A","Chrome",1
20.6002003575991,"A","Chrome",1
25.7636292040356,"A","Chrome",1
14.2713029529827,"A","Chrome",1
12.5924304221442,"A","Chrome",1
16.9587877616321,"A","Chrome",1
16.8710909433119,"A","Chrome",1
26.888931924213,"A","Chrome",1
27.9301930761288,"A","Chrome",1
35.6046430947364,"A","Chrome",1
31.8315027405102,"A","Chrome",1
9.25352553101871,"A","Chrome",1
20.0127987782189,"A","Chrome",1
18.9086417039606,"A","Chrome",1
23.0513942235313,"A","Chrome",1
20.308515824835,"A","Chrome",1
41.1195023200543,"A","Chrome",1
1.33531358536661,"A","Chrome",1
33.8663572667218,"A","Chrome",1
19.3986372499468,"A","Chrome",1
25.2559802246043,"A","Chrome",1
45.6795896789037,"A","Chrome",1
33.4508234458098,"A","Chrome",1
21.5195917359559,"A","Chrome",1
22.5751894310825,"A","Chrome",1
29.0730220105407,"A","Chrome",1
18.0339635471385,"A","Chrome",1
26.4261868528283,"A","Chrome",1
33.6196709658779,"A","Chrome",1
38.0381345567279,"A","Chrome",1
7.48267549455642,"A","Chrome",1
22.4770216543845,"A","Chrome",1
25.6095939938397,"A","Chrome",1
39.1607308394791,"A","Chrome",1
18.8067178358092,"A","Chrome",1
27.890977773977,"A","Chrome",1
18.7740729782317,"A","Chrome",1
30.824504618593,"A","Chrome",1
23.1103638791158,"A","Chrome",1
14.9981920413968,"A","Chrome",1
20.7523453682647,"A","Chrome",1
30.9695514663181,"A","Chrome",1
33.355693235691,"A","Chrome",1
43.6174650169708,"A","Chrome",1
13.6898462809274,"A","Chrome",1
24.5447314323775,"A","Chrome",1
18.0875588300984,"A","Chrome",1
15.7214198379412,"A","Chrome",1
13.21754251233,"A","Chrome",1
22.0330751643547,"A","Chrome",1
31.4142626589159,"A","Chrome",1
21.7665683327124,"A","Chrome",1
10.6500927776481,"A","Chrome",1
11.6652351582871,"A","Chrome",1
11.9694107797531,"A","Chrome",1
43.9539920879988,"A","Chrome",1
7.90250386435602,"A","Chrome",1
25.274328560836,"A","Chrome",1
22.8687455235703,"A","Chrome",1
35.044102911489,"A","Chrome",1
31.9133890525429,"A","Chrome",1
12.5029596416167,"A","Chrome",1
13.1351739761097,"A","Chrome",1
26.0344004918491,"A","Chrome",1
31.1302990600855,"A","Chrome",1
28.0578603421872,"A","Chrome",1
20.483562248267,"A","Chrome",1
16.8603281833087,"A","Chrome",1
36.5469180655911,"A","Chrome",1
24.7655060286302,"A","Chrome",1
36.5975160775737,"A","Chrome",1
38.8238383354602,"A","Chrome",1
18.4373193195685,"A","Chrome",1
27.2385899140358,"A","Chrome",1
23.2484021870293,"A","Chrome",1
1.75713385999516,"A","Chrome",1
31.0169857520919,"A","Chrome",1
24.4307849655549,"A","Chrome",1
24.4410767731539,"A","Chrome",1
22.4502383315947,"A","Chrome",1
7.47221543529453,"A","Chrome",1
21.191132988691,"A","Chrome",1
35.367277069819,"A","Chrome",1
38.0226889424249,"A","Chrome",1
19.7896570225646,"A","Chrome",1
24.9682104454788,"A","Chrome",1
8.49533656421781,"A","Chrome",1
20.4743862239057,"A","Chrome",1
19.862913331195,"A","Chrome",1
18.9307393036616,"A","Chrome",1
23.4549153688881,"A","Chrome",1
30.6712522278152,"A","Chrome",1
18.3685274810894,"A","Chrome",1
35.5631102866438,"A","Chrome",1
12.6199184598657,"A","Chrome",1
24.3481972818901,"A","Chrome",1
30.103677782209,"A","Chrome",1
26.4080884871644,"A","Chrome",1
15.3505295990458,"A","Chrome",1
18.3448205190644,"A","Chrome",1
11.1663622263539,"A","Chrome",1
16.4104536154162,"A","Chrome",1
3.87347999222011,"A","Chrome",1
23.8341856777947,"A","Chrome",1
26.1401148056761,"A","Chrome",1
27.5703677659853,"A","Chrome",1
11.677022008329,"A","Chrome",1
6.42457226968652,"A","Chrome",1
37.261383414874,"A","Chrome",1
20.2244198573421,"A","Chrome",1
