1 0 122 1 1 1 
2 0 122 0 1 1 
3 0 3 1 1 1 
3 3 88 1 2 1 
3 88 122 0 3 1 
4 0 92 1 1 1 
4 92 122 0 2 1 
5 0 70 1 1 1 
5 70 74 1 2 1 
5 74 85 1 3 1 
5 85 92 1 4 1 
5 92 122 0 5 1 
6 0 38 1 1 1 
6 38 92 1 2 1 
6 92 122 1 3 1 
7 0 28 1 1 1 
7 28 35 1 2 1 
7 35 45 1 3 1 
7 45 70 1 4 1 
7 70 77 1 5 1 
7 77 107 1 6 1 
7 107 122 0 7 1 
8 0 92 1 1 1 
8 92 122 0 2 1 
9 0 21 1 1 1 
9 21 122 0 2 1 
10 0 11 1 1 1 
10 11 24 1 2 1 
10 24 66 1 3 1 
10 66 74 1 4 1 
10 74 92 1 5 1 
10 92 122 0 6 1 
11 0 56 1 1 1 
11 56 70 1 2 1 
11 70 122 0 3 1 
12 0 31 1 1 1 
12 31 122 0 2 1 
13 0 3 1 1 1 
13 3 8 1 2 1 
13 8 24 1 3 1 
13 24 35 1 4 1 
13 35 92 1 5 1 
13 92 122 0 6 1 
14 0 45 1 1 1 
14 45 92 1 2 1 
14 92 122 0 3 1 
15 0 3 1 1 1 
15 3 42 1 2 1 
15 42 92 1 3 1 
15 92 122 0 4 1 
16 0 3 1 1 1 
16 3 17 1 2 1 
16 17 52 1 3 1 
16 52 80 1 4 1 
16 80 122 0 5 1 
17 0 17 1 1 1 
17 17 59 1 2 1 
17 59 92 1 3 1 
17 92 101 1 4 1 
17 101 107 1 5 1 
17 107 122 0 6 1 
18 0 45 1 1 1 
18 45 52 1 2 1 
18 52 85 1 3 1 
18 85 101 1 4 1 
18 101 122 1 5 1 
19 0 92 1 1 1 
19 92 122 0 2 1 
20 0 21 1 1 1 
20 21 35 1 2 1 
20 35 122 0 3 1 
21 0 24 1 1 1 
21 24 31 1 2 1 
21 31 42 1 3 1 
21 42 48 1 4 1 
21 48 70 1 5 1 
21 70 74 1 6 1 
21 74 122 0 7 1 
22 0 122 0 1 1 
23 0 31 1 1 1 
23 31 122 0 2 1 
24 0 3 1 1 0 
24 3 42 1 2 0 
24 42 59 1 3 0 
24 59 61 1 4 0 
24 61 61.01 1 5 0 
24 61.01 112 1 6 0 
24 112 119 1 7 0 
24 119 122 0 8 0 
25 0 28 1 1 0 
25 28 31 1 2 0 
25 31 35 1 3 0 
25 35 45 1 4 0 
25 45 52 1 5 0 
25 52 59 1 6 0 
25 59 59.01 1 7 0 
25 59.01 77 1 8 0 
25 77 85 1 9 0 
25 85 107 1 10 0 
25 107 112 1 11 0 
25 112 122 0 12 0 
26 0 31 1 1 0 
26 31 38 1 2 0 
26 38 48 1 3 0 
26 48 52 1 4 0 
26 52 74 1 5 0 
26 74 77 1 6 0 
26 77 101 1 7 0 
26 101 101.01 1 8 0 
26 101.01 119 1 9 0 
26 119 122 0 10 0 
27 0 11 1 1 0 
27 11 114 1 2 0 
27 114 122 0 3 0 
28 0 35 1 1 0 
28 35 45 1 2 0 
28 45 74 1 3 0 
28 74 74.01 1 4 0 
28 74.01 77 1 5 0 
28 77 80 1 6 0 
28 80 85 1 7 0 
28 85 90 1 8 0 
28 90 90.01 1 9 0 
28 90.01 122 0 10 0 
29 0 8 1 1 0 
29 8 8.01 1 2 0 
29 8.01 70 1 3 0 
29 70 77 1 4 0 
29 77 122 0 5 0 
30 0 17 1 1 0 
30 17 35 1 2 0 
30 35 52 1 3 0 
30 52 77 1 4 0 
30 77 101 1 5 0 
30 101 114 1 6 0 
30 114 122 0 7 0 
31 0 21 1 1 0 
31 21 24 1 2 0 
31 24 66 1 3 0 
31 66 74 1 4 0 
31 74 101 1 5 0 
31 101 101.01 1 6 0 
31 101.01 114 1 7 0 
31 114 122 0 8 0 
32 0 8 1 1 0 
32 8 17 1 2 0 
32 17 38 1 3 0 
32 38 42 1 4 0 
32 42 42.01 1 5 0 
32 42.01 42.02 1 6 0 
32 42.02 122 0 7 0 
33 0 52 1 1 0 
33 52 122 0 2 0 
34 0 28 1 1 0 
34 28 28.01 1 2 0 
34 28.01 31 1 3 0 
34 31 38 1 4 0 
34 38 52 1 5 0 
34 52 74 1 6 0 
34 74 74.01 1 7 0 
34 74.01 77 1 8 0 
34 77 77.01 1 9 0 
34 77.01 80 1 10 0 
34 80 80.01 1 11 0 
34 80.01 92 1 12 0 
34 92 92.01 1 13 0 
34 92.01 122 0 14 0 
35 0 17 1 1 0 
35 17 119 1 2 0 
35 119 122 0 3 0 
36 0 52 1 1 0 
36 52 122 0 2 0 
37 0 11 1 1 0 
37 11 11.01 1 2 0 
37 11.01 14 1 3 0 
37 14 17 1 4 0 
37 17 52 1 5 0 
37 52 56 1 6 0 
37 56 56.01 1 7 0 
37 56.01 80 1 8 0 
37 80 80.01 1 9 0 
37 80.01 107 1 10 0 
37 107 122 0 11 0 
38 0 17 1 1 0 
38 17 35 1 2 0 
38 35 66 1 3 0 
38 66 90 1 4 0 
38 90 122 0 5 0 
39 0 28 1 1 0 
39 28 66 1 2 0 
39 66 70 1 3 0 
39 70 70.01 1 4 0 
39 70.01 74 1 5 0 
39 74 122 0 6 0 
40 0 3 1 1 0 
40 3 14 1 2 0 
40 14 24 1 3 0 
40 24 24.01 1 4 0 
40 24.01 28 1 5 0 
40 28 31 1 6 0 
40 31 35 1 7 0 
40 35 48 1 8 0 
40 48 74 1 9 0 
40 74 77 1 10 0 
40 77 119 1 11 0 
40 119 122 0 12 0 
41 0 21 1 1 0 
41 21 28 1 2 0 
41 28 45 1 3 0 
41 45 56 1 4 0 
41 56 63 1 5 0 
41 63 80 1 6 0 
41 80 85 1 7 0 
41 85 92 1 8 0 
41 92 101 1 9 0 
41 101 101.01 1 10 0 
41 101.01 119 1 11 0 
41 119 122 0 12 0 
42 0 28 1 1 0 
42 28 35 1 2 0 
42 35 52 1 3 0 
42 52 59 1 4 0 
42 59 66 1 5 0 
42 66 66.01 1 6 0 
42 66.01 90 1 7 0 
42 90 97 1 8 0 
42 97 119 1 9 0 
42 119 122 0 10 0 
43 0 8 1 1 0 
43 8 8.01 1 2 0 
43 8.01 24 1 3 0 
43 24 42 1 4 0 
43 42 45 1 5 0 
43 45 59 1 6 0 
43 59 63 1 7 0 
43 63 63.01 1 8 0 
43 63.01 77 1 9 0 
43 77 101 1 10 0 
43 101 119 1 11 0 
43 119 122 1 12 0 
44 0 80 1 1 0 
44 80 122 0 2 0 
45 0 92 1 1 0 
45 92 122 1 2 0 
45 122 122.01 1 3 0 
46 0 21 1 1 0 
46 21 122 0 2 0 
47 0 3 1 1 0 
47 3 28 1 2 0 
47 28 74 1 3 0 
47 74 122 0 4 0 
48 0 24 1 1 0 
48 24 74 1 2 0 
48 74 122 1 3 0 
